name,stars,review_count,price,score,poi,cityname,address,,,,
星巴克,40,216,￥40/人,口味:8.3 环境:8.5 服务:8.3,"{""lat"": 121.40396, ""lng"": 31.16391}",上海市,桂平路391号,,,,
星巴克,40,751,￥38/人,口味:7.6 环境:7.5 服务:7.6,"{""lat"": 121.442097, ""lng"": 31.188632}",上海市,天钥桥路323号,,,,
星巴克,40,395,￥40/人,口味:8.0 环境:7.9 服务:7.7,"{""lat"": 121.43796, ""lng"": 31.18311}",上海市,零陵路889号飞洲国际广场1楼,,,,
星巴克,40,655,￥36/人,口味:7.9 环境:7.7 服务:7.8,"{""lat"": 121.43136, ""lng"": 31.1521213108}",上海市,上海南站地下商场南馆的第一层第B区南1-B25号店铺,,,,
星巴克,40,474,￥47/人,口味:7.6 环境:7.6 服务:7.7,"{""lat"": 121.442874, ""lng"": 31.192435}",上海市,辛耕路129号永新坊,,,,
星巴克,35,759,￥37/人,口味:7.7 环境:7.7 服务:7.4,"{""lat"": 121.457649, ""lng"": 31.186311}",上海市,中山南二路699号正大乐城1区1层104,,,,
星巴克,35,164,￥34/人,口味:7.6 环境:7.6 服务:7.5,"{""lat"": 121.416489, ""lng"": 31.17225}",上海市,桂林路402号诚达创意园1楼,,,,
星巴克,40,768,￥40/人,口味:8.3 环境:8.2 服务:8.2,"{""lat"": 121.439677, ""lng"": 31.193425}",上海市,肇嘉浜路1111号美罗城A区2层219,,,,
星巴克,35,447,￥46/人,口味:8.0 环境:7.6 服务:7.7,"{""lat"": 121.425904, ""lng"": 31.134953}",上海市,上中西路280号梅陇一街坊内,,,,
星巴克,40,170,￥41/人,口味:8.2 环境:8.1 服务:8.1,"{""lat"": 121.44317, ""lng"": 31.1789200000035}",上海市,中山南二路1089号1层101室,,,,
星巴克,35,427,￥44/人,口味:8.0 环境:7.8 服务:7.4,"{""lat"": 121.448072, ""lng"": 31.173737}",上海市,天钥桥路1188号,,,,
星巴克,40,136,￥39/人,口味:8.1 环境:8.0 服务:7.8,"{""lat"": 121.460484, ""lng"": 31.117054}",上海市,望月路885号,,,,
星巴克,40,220,￥44/人,口味:7.9 环境:7.8 服务:7.7,"{""lat"": 121.431583, ""lng"": 31.187333}",上海市,文定路200号1楼1A09ab室,,,,
星巴克,35,293,￥50/人,口味:8.0 环境:8.1 服务:7.3,"{""lat"": 121.45419, ""lng"": 31.201179}",上海市,肇嘉浜路500号,,,,
星巴克,40,767,￥38/人,口味:8.2 环境:8.5 服务:7.9,"{""lat"": 121.439632, ""lng"": 31.195886}",上海市,衡山路890弄3号,,,,
星巴克,35,271,￥55/人,口味:7.6 环境:7.5 服务:7.7,"{""lat"": 121.462501, ""lng"": 31.203555}",上海市,肇嘉浜路212号明珠大酒店大堂,,,,
星巴克,35,253,￥43/人,口味:7.8 环境:7.7 服务:7.5,"{""lat"": 121.445692, ""lng"": 31.190909}",上海市,南丹东路8号第一层101室,,,,
星巴克,40,165,￥40/人,口味:8.1 环境:8.1 服务:7.7,"{""lat"": 121.401864, ""lng"": 31.172131}",上海市,宜山路900号科产大厦A座1F,,,,
星巴克,35,165,￥39/人,口味:7.9 环境:8.1 服务:7.4,"{""lat"": 121.46502, ""lng"": 31.1988}",上海市,茶陵北路20号A1室,,,,
星巴克,40,362,￥47/人,口味:7.6 环境:7.5 服务:7.6,"{""lat"": 121.452981, ""lng"": 31.209842}",上海市,汾阳路138号1楼03单元,,,,
星巴克,35,274,￥42/人,口味:7.6 环境:7.5 服务:7.4,"{""lat"": 121.457461, ""lng"": 31.216213107639}",上海市,淮海中路1008号,,,,
星巴克,35,82,￥56/人,口味:8.0 环境:8.1 服务:7.6,"{""lat"": 121.434096, ""lng"": 31.158474}",上海市,定安路55号T2楼101A号,,,,
星巴克,40,177,￥42/人,口味:7.9 环境:8.2 服务:7.9,"{""lat"": 121.438223, ""lng"": 31.186333}",上海市,漕溪北路595号,,,,
星巴克,40,4106,￥36/人,口味:7.2 环境:7.0 服务:7.0,"{""lat"": 121.440538, ""lng"": 31.193002}",上海市,天钥桥路30号,,,,
星巴克,40,147,￥42/人,口味:8.1 环境:8.1 服务:8.1,"{""lat"": 121.425401, ""lng"": 31.166943}",上海市,柳州路399号一楼大厅,,,,
星巴克,35,259,￥38/人,口味:7.4 环境:7.4 服务:7.1,"{""lat"": 121.420026, ""lng"": 31.180543}",上海市,钦州北路238-240号,,,,
星巴克,40,214,￥39/人,口味:7.7 环境:7.9 服务:7.7,"{""lat"": 121.42182, ""lng"": 31.18677475}",上海市,中山西路1602号1层02室,,,,
星巴克,35,281,￥42/人,口味:7.7 环境:8.1 服务:7.7,"{""lat"": 121.434121, ""lng"": 31.195943}",上海市,广元西路98号3-4室,,,,
星巴克,35,437,￥40/人,口味:7.5 环境:7.3 服务:7.2,"{""lat"": 121.448644, ""lng"": 31.198283}",上海市,肇嘉浜路789号1F,,,,
星巴克,35,100,￥42/人,口味:7.8 环境:7.7 服务:7.6,"{""lat"": 121.423086, ""lng"": 31.195891}",上海市,淮海西路555号1楼103单元,,,,
星巴克,35,141,￥41/人,口味:7.9 环境:7.6 服务:7.2,"{""lat"": 121.42833, ""lng"": 31.16761}",上海市,漕宝路70号万商生活广场1层,,,,
星巴克,40,685,￥41/人,口味:8.1 环境:7.9 服务:7.8,"{""lat"": 121.518092, ""lng"": 31.300229}",上海市,翔殷路1099号上海合生国际广场B1,,,,
星巴克,40,131,￥43/人,口味:8.0 环境:7.8 服务:8.0,"{""lat"": 121.43902, ""lng"": 31.1908}",上海市,漕溪北路331号1层03,,,,
星巴克,35,202,￥45/人,口味:7.8 环境:7.7 服务:7.5,"{""lat"": 121.409153, ""lng"": 31.176679}",上海市,钦江路102号,,,,
星巴克,35,96,￥41/人,口味:7.4 环境:7.4 服务:7.3,"{""lat"": 121.44533, ""lng"": 31.19532}",上海市,宛平南路100号,,,,
星巴克,40,231,￥44/人,口味:7.9 环境:8.0 服务:7.5,"{""lat"": 121.41586, ""lng"": 31.18791}",上海市,吴中路52号古北时尚广场1层,,,,
星巴克,40,235,￥39/人,口味:8.2 环境:8.3 服务:7.9,"{""lat"": 121.538905, ""lng"": 31.311859}",上海市,民星路378号163，166，167室,,,,
星巴克,35,32,￥34/人,口味:7.4 环境:7.4 服务:7.3,"{""lat"": 121.398574, ""lng"": 31.164209}",上海市,古美路1528号SOHO区B楼B1楼D-2号,,,,
星巴克,35,1739,￥40/人,口味:7.4 环境:7.1 服务:7.2,"{""lat"": 121.513456, ""lng"": 31.300267}",上海市,邯郸路600号一楼,,,,
星巴克,40,1287,￥35/人,口味:7.7 环境:7.5 服务:7.5,"{""lat"": 121.514999, ""lng"": 31.302221}",上海市,淞沪路8号,,,,
星巴克,40,597,￥43/人,口味:7.8 环境:8.1 服务:8.0,"{""lat"": 121.51354, ""lng"": 31.30536}",上海市,淞沪路234号创智天地1号楼和2号楼之间B1层A1-24,,,,
星巴克,35,238,￥42/人,口味:8.0 环境:8.0 服务:7.4,"{""lat"": 121.535083, ""lng"": 31.293948}",上海市,佳木斯路488号1层101室,,,,
星巴克,35,866,￥38/人,口味:8.1 环境:7.9 服务:7.5,"{""lat"": 121.517944, ""lng"": 31.275267}",上海市,控江路1628号紫荆广场东区1层113号,,,,
星巴克,40,145,￥42/人,口味:8.2 环境:8.2 服务:8.1,"{""lat"": 121.53086, ""lng"": 31.302484}",上海市,安波路419号,,,,
星巴克,40,513,￥38/人,口味:8.0 环境:8.0 服务:7.9,"{""lat"": 121.537665, ""lng"": 31.264403}",上海市,宁国路218号L1层1A-024室,,,,
星巴克,40,136,￥52/人,口味:8.0 环境:8.3 服务:7.9,"{""lat"": 121.487481, ""lng"": 31.30019}",上海市,逸仙路519号1-2楼,,,,
星巴克,40,236,￥41/人,口味:7.9 环境:8.4 服务:7.8,"{""lat"": 121.521743, ""lng"": 31.290758}",上海市,关山路73-75号,,,,
星巴克,40,205,￥59/人,口味:8.1 环境:8.3 服务:8.1,"{""lat"": 121.525483, ""lng"": 31.26066}",上海市,江浦路627号,,,,
星巴克,40,198,￥37/人,口味:8.1 环境:8.1 服务:8.1,"{""lat"": 121.512623, ""lng"": 31.260047}",上海市,昆明路508号,,,,
星巴克,35,419,￥33/人,口味:7.7 环境:8.0 服务:7.5,"{""lat"": 121.521558, ""lng"": 31.315343}",上海市,国和路709号中原城市广场5座1层5105铺,,,,
星巴克,40,768,￥41/人,口味:8.1 环境:8.3 服务:7.8,"{""lat"": 121.558415, ""lng"": 31.270814}",上海市,杨树浦路2866号上海国际时尚中心,,,,
星巴克,35,115,￥38/人,口味:7.9 环境:8.3 服务:7.6,"{""lat"": 121.508627, ""lng"": 31.30873}",上海市,政立路477号,,,,
星巴克,35,332,￥38/人,口味:7.8 环境:8.0 服务:7.6,"{""lat"": 121.543296, ""lng"": 31.27521}",上海市,隆昌路586号,,,,
星巴克,35,224,￥39/人,口味:7.8 环境:7.7 服务:7.7,"{""lat"": 121.513308, ""lng"": 31.301008}",上海市,上海五角场万达商业广场万达影城国宾路58号3楼,,,,
星巴克,35,92,￥44/人,口味:7.8 环境:8.0 服务:7.6,"{""lat"": 121.53397, ""lng"": 31.27123}",上海市,长阳路1687号,,,,
星巴克,35,144,￥41/人,口味:7.3 环境:7.4 服务:7.3,"{""lat"": 121.507892, ""lng"": 31.281375}",上海市,彰武路48号同济联合广场A区1层,,,,
星巴克,35,228,￥43/人,口味:8.0 环境:8.0 服务:7.4,"{""lat"": 121.51821, ""lng"": 31.28831}",上海市,国权路73号,,,,
星巴克,35,190,￥46/人,口味:7.5 环境:7.5 服务:7.5,"{""lat"": 121.5371, ""lng"": 31.270351}",上海市,长阳路1750号SHYP2?-108A室,,,,
星巴克,35,58,￥44/人,口味:7.8 环境:7.5 服务:7.6,"{""lat"": 121.504249, ""lng"": 31.28618181220786}",上海市,国康路38号(邮电设计院)一楼,,,,
星巴克,35,95,￥38/人,口味:7.6 环境:7.6 服务:7.4,"{""lat"": 121.510223, ""lng"": 31.316814}",上海市,江湾城路99号尚浦商务中心6幢1楼109a,,,,
星巴克,35,108,￥40/人,口味:7.7 环境:7.7 服务:7.4,"{""lat"": 121.541244, ""lng"": 31.275045}",上海市,双阳支路135-137号,,,,
