name,stars,review_count,price,score,poi,cityname,address
Luckin 瑞幸咖啡,40,25,￥21/人,口味:8.1 环境:8.0 服务:8.1,"{""lat"": 121.477281, ""lng"": 31.233763}",上海市,汉口路692号中福城B座一层
luckin coffee瑞幸咖啡,40,131,￥19/人,口味:8.1 环境:8.0 服务:8.0,"{""lat"": 121.36304, ""lng"": 31.130968}",上海市,七莘路1507号怡丰城负一层001室
luckin coffee瑞幸咖啡,40,51,￥27/人,口味:8.2 环境:8.1 服务:8.2,"{""lat"": 121.410375, ""lng"": 31.141445}",上海市,虹梅路227号白玉兰酒店一层大堂
luckin coffee瑞幸咖啡,40,88,￥22/人,口味:8.3 环境:8.1 服务:8.0,"{""lat"": 121.31328, ""lng"": 31.190469}",上海市,甬虹路188弄龙湖虹桥天街1号127室
luckin coffee瑞幸咖啡,40,154,￥18/人,口味:8.2 环境:8.3 服务:8.4,"{""lat"": 121.353805, ""lng"": 31.159552}",上海市,新镇路1399号七宝宝龙广场T3号楼一层405号
luckincoffee瑞幸咖啡,40,114,￥21/人,口味:7.8 环境:7.7 服务:7.9,"{""lat"": 121.349685, ""lng"": 31.156058}",上海市,漕宝路3459号汇宝购物广场负一层A2-10号
瑞幸咖啡luckincoffee,40,64,￥20/人,口味:7.9 环境:7.7 服务:8.0,"{""lat"": 121.38236, ""lng"": 31.180179}",上海市,紫秀路100号虹桥总部5号楼一层
luckin coffee瑞幸咖啡,40,36,￥20/人,口味:8.1 环境:8.1 服务:8.2,"{""lat"": 121.427747, ""lng"": 31.10976403132192}",上海市,兴梅路485号中环科技园一层102室
luckin coffee瑞幸咖啡,40,38,￥21/人,口味:7.9 环境:8.0 服务:8.2,"{""lat"": 121.336883, ""lng"": 31.151536}",上海市,新龙路1333弄25号万科七宝科技一期一栋一层
luckin coffee瑞幸咖啡,45,72,￥21/人,口味:8.6 环境:8.9 服务:8.9,"{""lat"": 121.493882, ""lng"": 31.336715}",上海市,逸仙路2816号华滋奔腾大厦移动互联网创业园一层大堂
luckin coffee瑞幸咖啡,40,17,￥22/人,口味:8.0 环境:7.9 服务:8.1,"{""lat"": 121.315037, ""lng"": 31.20305036418933}",上海市,申虹路683弄虹桥协信中心T2一层大堂
luckin coffee瑞幸咖啡,40,34,￥21/人,口味:8.2 环境:7.9 服务:8.3,"{""lat"": 121.445347, ""lng"": 31.325516}",上海市,共和新路5199号一幢骏利财富大厦一层G区
luckin coffee瑞幸咖啡,40,30,,口味:7.8 环境:7.7 服务:7.8,"{""lat"": 121.395532, ""lng"": 31.165324018224354}",上海市,古美路1595号宝石园27号楼负一层员工餐厅
luckin coffee瑞幸咖啡,40,30,￥22/人,口味:8.2 环境:8.3 服务:8.3,"{""lat"": 121.49011, ""lng"": 31.321281}",上海市,殷高路23弄20号美丽华德必易园A座一层101室
luckin coffee瑞幸咖啡,35,26,￥25/人,口味:7.6 环境:7.7 服务:7.6,"{""lat"": 121.433564, ""lng"": 31.352171}",上海市,蕰川路512号4幢红石科技大楼1层K座
luckin coffee瑞幸咖啡,40,27,￥17/人,口味:7.7 环境:7.6 服务:7.7,"{""lat"": 121.433589, ""lng"": 31.33877}",上海市,呼兰西路100号智园2期永谊大厦一层大堂
luckin coffee瑞幸咖啡,35,20,,口味:7.5 环境:7.6 服务:7.6,"{""lat"": 121.46936, ""lng"": 31.406499}",上海市,漠河路600号东鼎国际大厦地下广场一层
luckin coffee 瑞幸咖啡 ,40,91,￥23/人,口味:7.8 环境:7.7 服务:7.7,"{""lat"": 121.398595, ""lng"": 31.13107896511966}",上海市,闵虹路8号中庚绿地优鲜店负一层111室
luckin coffee瑞幸咖啡,35,25,￥29/人,口味:7.6 环境:7.8 服务:7.6,"{""lat"": 121.434348, ""lng"": 31.096703}",上海市,虹梅南路2588号一层A101、A102室
luckin coffee瑞幸咖啡,35,83,￥28/人,口味:7.5 环境:7.5 服务:7.6,"{""lat"": 121.444245, ""lng"": 31.323037}",上海市,共和新路5000弄1号绿地全球商品直销中心一层101室
luckin coffee瑞幸咖啡,45,108,￥22/人,口味:8.3 环境:8.3 服务:8.3,"{""lat"": 121.414271, ""lng"": 31.269834}",上海市,大华路352号大华虎城嘉年华一层105室
瑞幸咖啡,35,12,￥19/人,口味:7.5 环境:7.4 服务:7.6,"{""lat"": 121.495394, ""lng"": 31.3487}",上海市,长江路258号C6号星球影棚一层102室
luckin coffee瑞幸咖啡,35,7,,口味:7.5 环境:7.6 服务:7.6,"{""lat"": 121.354554, ""lng"": 31.12750347273172}",上海市,顾戴路2959号中展大厦一层大堂
luckin coffee瑞幸咖啡,35,18,￥20/人,口味:7.5 环境:7.5 服务:7.5,"{""lat"": 121.41532, ""lng"": 31.187078}",上海市,吴中路51号建工汇豪大厦一层大堂
瑞幸咖啡,40,17,￥18/人,口味:8.2 环境:8.3 服务:8.1,"{""lat"": 121.362322, ""lng"": 31.122669}",上海市,秀文路908弄21号中铁诺德国际中心一层
瑞幸咖啡,0,0,,,"{""lat"": 121.490869, ""lng"": 31.378685}",上海市,同济支路199号一号楼
luckin coffee瑞幸咖啡,40,82,￥25/人,口味:8.4 环境:8.4 服务:8.6,"{""lat"": 121.608771, ""lng"": 31.267452}",上海市,金高路1882号金桥太茂广场负一层绿地超市
luckin coffee瑞幸咖啡,40,266,￥21/人,口味:8.2 环境:8.3 服务:8.3,"{""lat"": 121.555191, ""lng"": 31.242695}",上海市,张杨路2389弄1-2号置汇旭辉广场购物中心负一层10室
luckin coffee瑞幸咖啡,40,56,￥19/人,口味:7.9 环境:8.1 服务:8.2,"{""lat"": 121.534803, ""lng"": 31.212851}",上海市,杨高南路759号世纪金融广场二层05号
luckin coffee瑞幸咖啡,40,52,￥18/人,口味:8.1 环境:8.1 服务:8.1,"{""lat"": 121.629887, ""lng"": 31.212685}",上海市,盛夏路169号A栋一层118B室
luckin coffee瑞幸咖啡,40,204,￥21/人,口味:8.1 环境:8.2 服务:8.3,"{""lat"": 121.514782, ""lng"": 31.227074}",上海市,浦东南路1138号上海湾广场内一层134室
luckin coffee瑞幸咖啡,40,47,￥19/人,口味:8.2 环境:8.0 服务:8.3,"{""lat"": 121.544634, ""lng"": 31.205494234745277}",上海市,牡丹路60号东辰大厦一层102号
luckin coffee瑞幸咖啡,40,95,￥21/人,口味:8.2 环境:8.2 服务:8.4,"{""lat"": 121.51772, ""lng"": 31.230206}",上海市,商城路618号良友大厦一层6号
luckin coffee瑞幸咖啡,40,80,￥21/人,口味:8.1 环境:8.0 服务:8.0,"{""lat"": 121.53197, ""lng"": 31.224323204871244}",上海市,福山路455号全华信息大厦一层大堂
luckin coffee瑞幸咖啡,40,40,￥26/人,口味:8.1 环境:8.3 服务:8.0,"{""lat"": 121.562281, ""lng"": 31.207121}",上海市,樱花路868号建工大唐国际广场一层大堂
luckin coffee瑞幸咖啡,40,56,￥24/人,口味:8.0 环境:8.0 服务:8.0,"{""lat"": 121.603513, ""lng"": 31.198972}",上海市,亮秀路112号浦东软件园Y2座一层102室
luckin coffee瑞幸咖啡,35,145,￥23/人,口味:7.6 环境:7.5 服务:7.6,"{""lat"": 121.508059, ""lng"": 31.239206}",上海市,陆家嘴环路958号华能联合大厦大堂
luckin coffee瑞幸咖啡,40,58,￥21/人,口味:7.8 环境:7.8 服务:8.0,"{""lat"": 121.510522, ""lng"": 31.241652}",上海市,银城路66号尚悦湾负一层绿地超市
luckin coffee瑞幸咖啡,35,46,￥26/人,口味:7.4 环境:7.6 服务:7.7,"{""lat"": 121.6011, ""lng"": 31.17731}",上海市,中科路702号的金创大厦1号楼一层102室
luckin coffee 瑞幸咖啡,40,20,￥20/人,口味:7.7 环境:7.8 服务:8.1,"{""lat"": 121.609699, ""lng"": 31.253241}",上海市,新金桥路1088号中惠广场一层110室
瑞幸咖啡,40,38,￥24/人,口味:8.1 环境:7.8 服务:8.2,"{""lat"": 121.482614, ""lng"": 31.172267}",上海市,耀华路488号信建大厦一层大堂
luckin coffee瑞幸咖啡,40,78,￥22/人,口味:7.8 环境:7.9 服务:8.1,"{""lat"": 121.588769, ""lng"": 31.252867}",上海市,金桥路1391号福建天安大厦一层大堂
